rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7978,0.7955,0.6667,1.0,4,4,False,True
2,frame_0069.jpg,27.6,0.6943,0.5886,0.6667,1.0,4,4,False,False
3,frame_0125.jpg,50.0,0.6311,0.5741,0.6667,0.72,4,4,False,True
4,frame_0170.jpg,68.0,0.6171,0.5422,0.8333,0.48,6,5,False,True
5,frame_0073.jpg,29.2,0.6127,0.4253,0.6667,1.0,5,4,False,False
6,frame_0376.jpg,150.4,0.6025,0.641,0.8333,0.16,7,5,False,True
7,frame_0375.jpg,150.0,0.5897,0.4994,1.0,0.2,8,6,False,False
8,frame_0033.jpg,13.2,0.5864,0.4728,0.5,1.0,5,3,False,True
9,frame_0072.jpg,28.8,0.579,0.4579,0.5,1.0,6,3,False,False
10,frame_0123.jpg,49.2,0.5773,0.5985,0.5,0.64,4,3,False,False
11,frame_0287.jpg,114.8,0.572,0.472,0.6667,0.68,7,4,False,True
12,frame_0291.jpg,116.4,0.5695,0.503,0.5,0.84,4,3,False,False
13,frame_0024.jpg,9.6,0.5691,0.6382,0.1667,1.0,1,1,False,True
14,frame_0008.jpg,3.2,0.5683,0.4367,0.5,1.0,4,3,False,True
15,frame_0284.jpg,113.6,0.5635,0.503,0.6667,0.56,5,4,False,False
16,frame_0071.jpg,28.4,0.5621,0.4243,0.5,1.0,5,3,False,False
17,frame_0129.jpg,51.6,0.552,0.4519,0.5,0.88,5,3,False,False
18,frame_0332.jpg,132.8,0.5515,0.587,0.8333,0.04,6,5,False,True
19,frame_0079.jpg,31.6,0.5504,0.4808,0.5,0.8,6,3,False,True
20,frame_0031.jpg,12.4,0.541,0.382,0.5,1.0,7,3,False,False
21,frame_0029.jpg,11.6,0.5394,0.4789,0.3333,1.0,3,2,False,False
22,frame_0074.jpg,29.6,0.5391,0.3781,0.5,1.0,4,3,False,False
23,frame_0004.jpg,1.6,0.5389,0.3778,0.5,1.0,5,3,False,False
24,frame_0374.jpg,149.6,0.5348,0.5895,0.6667,0.2,7,4,False,False
25,frame_0184.jpg,73.6,0.5342,0.5364,0.8333,0.08,5,5,False,True
26,frame_0289.jpg,115.6,0.534,0.4639,0.5,0.76,3,3,False,False
27,frame_0002.jpg,0.8,0.5333,0.3665,0.5,1.0,4,3,False,True
28,frame_0306.jpg,122.4,0.5257,0.4554,0.8333,0.24,7,5,False,False
29,frame_0126.jpg,50.4,0.5193,0.4346,0.5,0.76,6,3,False,False
30,frame_0210.jpg,84.0,0.5175,0.5631,0.3333,0.68,2,2,False,False
31,frame_0384.jpg,153.6,0.5122,0.5603,0.6667,0.16,5,4,False,False
32,frame_0015.jpg,6.0,0.505,0.51,0.1667,1.0,2,1,False,False
33,frame_0288.jpg,115.2,0.497,0.4059,0.5,0.72,7,3,False,False
34,frame_0116.jpg,46.4,0.4884,0.4327,0.6667,0.36,7,4,False,False
35,frame_0295.jpg,118.0,0.4798,0.4877,0.3333,0.68,3,2,False,False
36,frame_0317.jpg,126.8,0.4785,0.4769,0.6667,0.2,7,4,False,False
37,frame_0127.jpg,50.8,0.4731,0.3262,0.5,0.8,6,3,False,False
38,frame_0377.jpg,150.8,0.4718,0.4955,0.6667,0.12,8,4,False,False
39,frame_0130.jpg,52.0,0.4667,0.3655,0.3333,0.92,3,2,False,False
40,frame_0388.jpg,155.2,0.4597,0.4553,0.6667,0.16,7,4,False,False
41,frame_0001.jpg,0.4,0.4575,0.315,0.3333,1.0,5,2,False,False
42,frame_0078.jpg,31.2,0.4569,0.3778,0.3333,0.84,4,2,False,False
43,frame_0128.jpg,51.2,0.4551,0.3743,0.3333,0.84,6,2,False,False
44,frame_0176.jpg,70.4,0.4544,0.4128,0.6667,0.24,7,4,False,False
45,frame_0206.jpg,82.4,0.4511,0.3983,0.3333,0.76,3,2,False,False
46,frame_0305.jpg,122.0,0.4492,0.4865,0.5,0.28,3,3,False,False
47,frame_0320.jpg,128.0,0.4481,0.5002,0.5,0.24,5,3,False,False
48,frame_0018.jpg,7.2,0.4479,0.2959,0.3333,1.0,3,2,False,False
49,frame_0387.jpg,154.8,0.4476,0.5152,0.5,0.2,7,3,False,False
50,frame_0007.jpg,2.8,0.446,0.292,0.3333,1.0,5,2,False,False
